Trip #,Post-trip,Outside temp ?C,Inside Temp ?C,Blue score,Distance Since start Km,Average Speed Since start Km/hr,Time Since start (includes key on),Economy Since start Kwh/100km,range indicator Km,Brake Mode,Climate control usage,Road style,Reset Meters,"                       Notes: Driving area, warnings, reminders, incedents, issues, feeling"
1,Y,5,,85,17,43,:23,16,139,B,N,Highway,,
2,Y,-5,,81,14,54,:14,21,99,B,Y,Highway,,
3,Y,-6,,98,3,40,:10,24.3,89,0,Y,City/Highway,,
4,Y,-8.5,,87,2,15,:10,38.7,75,0,Y,City ,,Not using a braking mode this car coasts really far!
5,Y,-12,,86,22,35,:38,26.7,42,0,Y,City/Highway,,
6,Y,-10.5,,81,19,57,:20,16.5,35,0,N,Highway,, (went into eco mode)
7,Y,-17,,79,20,51,:23,18.9,9,0,N,Highway,, (went into eco+ mode)
8,Y,0.5,,67,14,60,:14,17.2,167,0,Y,Highway,,
9,Y,0.5,,84,3,40,:10,17.8,163,0,Y,City/Highway,Y,
10,Y,6.5,,88,1,14,:07,12.5,168,0,Y,City ,Y,
11,Y,3.5,,77,18,49,:22,18.5,150,0,Y,Highway,Y,
12,Y,-1,15.5,81,17,54,:19,17.9,132,0,Y,Highway,Y,
13,Y,0,18,79,17,56,:18,20.6,107,0,Y,Highway,Y,
14,Y,0,17,78,18,32,:34,17.7,93,0,Y,Highway,Y,  includes wait in drive-through
15,Y,0,19,85,21,39,:33,17.9,66,0,Y,City/Highway,Y,
16,Y,-1,22,94,7,45,:09,15.5,59,0,Y,City ,Y,
17,Y,2,19.5,89,8,38,:13,16.4,52,0,Y,City/Highway,Y,
18,Y,6,19.5,80,17,53,:20,18.5,32,0,Y,Highway,Y,Changed to eco mode on its own at the 50km range mark
19,Y,4.5,22.5,74,17,60,:20,15,99,0,Y,Highway,Y,
20,Y,3.5,20,78,17,53,:19,19.6,69,0,Y,Highway,Y,
21,Y,-11,16,74,17,52,:20,24.8,136,0,Y,Highway,Y,
22,Y,-9,,90,1,11,:08,52.9,129,0,Y,City ,Y, My temp gun malfunction for inside temp
23,Y,-8,,86,1,12,:09,56.8,117,0,Y,City ,Y,
24,Y,1,20,80,17,40,:26,20.3,113,0,Y,Highway,Y,
25,Y,4,20,78,17,56,:18,15.8,169,B,Y,Highway,Y,
26,Y,8.5,18,96,4,25,:10,18.6,167,B,Y,City ,Y,
27,Y,7.5,20.5,96,4,26,:10,12.8,168,B,Y,City ,Y,
28,Y,4,20.5,87,18,45,:25,18,147,B,Y,City/Highway,Y,
29,Y,1,20.5,78,17,58,:18,14.9,185,B,Y,Highway,Y,
30,Y,3,17,92,5,29,:10,17.8,178,B,Y,City ,Y,
31,Y,7.5,20.5,95,4,26,:09,13.3,182,B,Y,City ,Y,
32,Y,6,17.5,97,2,21,:07,18.1,177,B,Y,City ,Y,
33,Y,3,18,95,3,24,:09,19.4,170,B,Y,City ,Y,
34,Y,2.5,11,98,0,10,:03,29.9,166,B,Y,City ,Y,
35,Y,3,20.5,77,20,58,:20,19.2,137,B,Y,City/Highway,Y,
36,Y,-3.5,19,79,14,50,:17,17.7,174,B,Y,Highway,Y,
37,Y,-2.5,19.5,95,3,24,:09,20.1,168,B,Y,City/Highway,Y,
38,Y,0,22.5,90,17,53,:19,17.7,155,D2,Y,Highway,Y,
39,Y,-3,21.5,81,19,52,:22,17.6,161,D2,Y,City/Highway,Y,
40,Y,2,20,95,7,28,:16,17.5,159,D2,Y,City ,Y,
41,Y,2,19.5,92,6,,:11,,155,D2,Y,City/Highway,Y,The vehicle data screen was not on the since start to some data on this line was omitted
42,Y,0,20.5,84,17,49,:21,17.7,135,D3,Y,Highway,Y,
43,Y,-1,20.5,84,19,54,:21,16.3,119,D3,Y,City/Highway,Y,
44,Y,-4,21,87,19,46,:25,21.1,82,D2,Y,City/Highway,Y,
45,Y,-4.5,15,76,16,62,:16,19.7,96,D3,Y,Highway,Y,
46,Y,-4.5,15,84,16,56,:17,23,70,D3,Y,Highway,Y,
47,Y,-7,10.5,73,15,60,:15,23.3,146,D1,Y,Highway,Y,
48,Y,-5,8.5,81,0,10,:02,57.3,147,0,Y,City ,Y,
49,Y,-3.5,16.5,97,8,44,:11,21.5,136,D3,Y,City ,Y,
50,Y,-9.5,19.5,86,18,45,:24,28,99,D3,Y,City/Highway,Y,
51,Y,-7,16,83,17,56,:18,19.8,139,D3,Y,Highway,Y,
52,Y,-2,7.5,87,3,32,:05,31.8,131,0,Y,City/Highway,Y,
53,Y,-2,16,87,3,29,:06,24.3,129,0,Y,City/Highway,Y,
54,Y,-5.5,20.5,88,23,40,:35,24,100,D3,Y,City/Highway,Y,includes sitting in drive through
55,Y,-12.5,14.5,83,17,50,:21,27,111,D3,Y,Highway,Y,
56,Y,-1.5,12,80,3,27,:06,32.9,114,D3,Y,City/Highway,Y,
57,Y,-3.5,20.5,83,14,56,:15,22.8,102,D3,Y,Highway,Y,using temp gun with temperature taken off the shifter boot 
58,Y,-7,20.5,83,17,53,:20,21.9,134,D3,Y,Highway,Y,Temperature is different side to side and goes eco when passenger gets out
59,Y,1,18.5,95,0,4,:07,67.9,143,0,Y,City ,Y,AST shop demo
60,Y,-3.5,16.5,89,0,4,:7,94.9,130,0,Y,City ,Y,
61,Y,-6.5,22.5,84,4,24,:11,20.8,128,0,Y,City ,Y,
62,Y,-8,17.1,85,4,21,:12,34.1,116,D3,Y,City ,Y,
63,Y,-9,20.5,85,21,37,:35,24.8,101,0,Y,City/Highway,Y,Numbers don’t seem correct may have tried to reset wrong trip
64,Y,-17,10.5,82,17,51,:20,28.8,110,D3,Y,Highway,Y,Doesn't feel cold Tire pressure monitor gave warning/ tires appear to be ok
65,Y,-11,19.5,88,4,23,:10,40.6,106,D3,Y,City ,Y,
66,Y,-11.5,17,83,0,4,:03,,100,0,Y,City ,Y,
67,Y,-11,18,89,0,8,:02,90.4,99,0,Y,City ,Y,
68,Y,-13.5,22,81,7,30,:14,31.9,89,0,Y,City ,Y,
69,Y,-14,,82,12,52,:14,32.2,69,D3,Y,Highway,Y,
70,Y,-17.5,15.5,75,17,57,:18,27.9,81,D3,Y,Highway,Y,
71,Y,-2.5,17,92,4,29,:09,27.6,86,D3,Y,City ,Y,
72,Y,-6,22.5,74,19,60,:20,22.2,70,D3,Y,City/Highway,Y,
73,Y,3,21.5,78,17,56,:18,17.5,146,D3,Y,Highway,Y,
74,Y,1,23,90,17,56,:18,19.7,133,D3,Y,Highway,Y,
75,Y,-3,22,82,17,56,:18,19.1,150,D3,Y,Highway,Y,
76,Y,2,24,83,17,55,:18,21.5,131,D3,Y,Highway,Y,
77,Y,1.5,23.5,78,17,58,:18,15.5,166,D3,Y,Highway,Y,
78,Y,1.5,24,93,16,28,:34,19.5,150,D3,Y,City/Highway,Y,includes waiting to pick up someone
79,Y,2,22,88,0,5,:04,45.6,149,D3,Y,City ,Y,
80,Y,2.5,20,93,0,5,:03,,148,D3,Y,City ,Y,
81,Y,3.5,26,92,11,25,:28,17.6,142,D3,Y,City ,Y,
82,Y,1.5,18.5,91,4,23,:11,24.2,132,D3,Y,City ,Y,
83,Y,0,23.5,82,14,56,:15,19.4,113,D3,Y,Highway,Y,
84,Y,2.5,22.5,79,17,50,:15,17.4,165,D3,Y,Highway,Y,"resistance/braking changes based on battery space, engine brake feel changes during trip"
85,Y,4,11.5,87,2,24,:07,25.5,160,D3,Y,City/Highway,Y,
86,Y,3,17.5,93,1,14,:06,21.5,158,D3,Y,City ,Y,
87,Y,3,24,94,3,20,:12,20.2,155,D3,Y,City ,Y,
88,Y,1.5,23.5,81,19,50,:23,18.8,135,D3,Y,City/Highway,Y,
89,Y,4,22.5,83,18,42,:26,16.4,175,D3,Y,Highway,Y,includes sitting in drive through
90,Y,7.5,18.5,86,11,41,:16,17.7,165,D3,Y,City/Highway,Y,
91,Y,6.5,24.5,75,30,57,:31,16.3,141,D3,Y,Highway,Y,
92,Y,10,23,83,8,41,:12,15,134,D3,Y,City/Highway,Y,
93,Y,5,22.5,77,20,61,:20,17.5,107,D3,Y,Highway,Y,
94,Y,5.5,17,96,12,58,:12,15.5,191,D3,Y,Highway,Y,
95,Y,5,23,94,12,57,:12,16.9,177,D3,Y,Highway,Y,
96,Y,6,20,81,17,56,:18,16,187,D3,Y,Highway,Y,
97,Y,7,24.5,83,17,48,:21,17.8,165,D3,Y,Highway,Y,
98,Y,5,20.5,76,17,51,:20,16.3,186,D3,Y,Highway,Y,
99,Y,4.5,25,84,17,55,:18,19.8,154,D3,Y,Highway,Y,
100,Y,0,19,80,17,58,:18,15.5,182,D3,Y,Highway,Y,
101,Y,8.5,17.5,92,3,33,:07,17.6,181,D3,Y,City/Highway,Y,
102,Y,5,19,87,2,15,:09,20.1,176,D3,Y,City ,Y,
103,Y,5,21.5,83,9,21,:28,13.4,178,D3,Y,City ,Y,
104,Y,4.5,21,93,6,29,:132,20.3,164,0,Y,City ,Y,
105,Y,4,20.5,85,1,21,:05,17.9,160,D3,Y,City ,Y,
106,Y,2.5,22.5,84,21,35,:36,20.1,123,D3,Y,City/Highway,Y,
107,Y,1,14.5,77,13,63,:13,17.7,109,D3,Y,Highway,Y,
108,Y,2.5,14,73,3,30,:07,20.2,96,D3,Y,City/Highway,Y,
109,Y,5.5,17,90,3,23,:08,21.3,94,D3,Y,City ,Y,
110,Y,6,23,79,17,51,:20,18.5,72,D3,Y,Highway,Y,
111,Y,3,22,82,16,54,:18,14.3,174,D3,Y,City/Highway,Y,
112,Y,4,23,97,9,23,:24,18.9,165,D3,Y,City ,Y,
113,Y,4.5,19,89,4,34,:07,17.5,159,D3,Y,City ,Y,
114,Y,3.5,21,79,10,53,:11,18.8,144,D3,Y,Highway,Y,
115,Y,3.5,21.5,94,2,32,:4,11.5,146,D3,Y,City ,Y,
116,Y,3.5,22.5,88,11,44,:15,17.2,135,D3,Y,City/Highway,Y,
117,Y,3,21.5,79,9,56,:10,17.8,122,D3,Y,Highway,Y,
118,Y,0,19,76,13,41,:20,18.8,115,D1,Y,City/Highway,Y,Numbers don’t seem correct may have tried to reset wrong trip
119,Y,-1.5,23.5,71,17,65,:16,22.6,99,D1,Y,Highway,Y,
120,Y,-4.5,21.5,72,18,62,:17,21.6,128,D1,Y,Highway,Y,
121,Y,-6,21.5,77,17,61,:17,23.7,100,D1,Y,Highway,Y,
122,Y,-4,18,74,12,54,:14,21.5,146,D1,Y,Highway,Y,
123,Y,-4,19,79,12,58,:13,22.1,130,D1,Y,Highway,Y,
124,Y,-7.5,22.5,71,58,70,:49,21.4,96,D1,Y,Highway,Y,
125,Y,-6.5,23.5,73,58,69,:50,19.7,42,D1,Y,Highway,Y,went to eco mode at 50km range
126,Y,-5,19,80,16,55,:18,21.8,148,D1,Y,Highway,Y,
127,Y,-7.5,25,86,28,47,:36,22.4,112,D1,Y,City/Highway,Y,
128,Y,-10,16.5,78,18,62,:17,23.1,131,D1,Y,Highway,Y,
129,Y,-10,16,87,3,35,:05,25.3,127,D1,Y,City/Highway,Y,
130,Y,-10,16.5,67,14,68,:12,26.5,103,D1,Y,Highway,Y,
131,Y,-3.5,14,71,15,53,:17,23.1,140,D1,Y,Highway,Y,
132,Y,-6.5,24.5,96,5,29,:11,25.3,130,D1,Y,City ,Y,
133,Y,-7.5,16.5,82,2,15,:08,37.2,122,0,Y,City ,Y,
134,Y,-7.5,12,94,0,6,:04,98.4,119,0,Y,City ,Y,
135,Y,-11.5,24,93,32,34,:56,23.8,84,D1,Y,City/Highway,Y,
136,Y,-2,17,76,18,59,:18,19.8,145,D1,Y,Highway,Y,
137,Y,-1,16,94,2,22,:05,21.4,144,D1,Y,City ,Y,
138,Y,3.5,18,90,2,9,:16,27.3,143,D1,Y,City ,Y,
139,Y,1.5,24,92,44,39,1:08,16.5,124,D1,Y,City/Highway,Y,
140,Y,5,14.5,78,14,62,:14,16.7,179,D1,Y,Highway,Y,
141,Y,5,13.5,84,1,24,:03,19.5,179,0,Y,City ,Y,
142,Y,7,22.5,83,7,16,:26,13.8,183,0,Y,City ,Y,
143,Y,7.5,22,94,5,28,:11,17.7,178,0,Y,City ,Y,
144,Y,7,22.5,82,14,56,:14,18.2,158,D1,Y,Highway,Y,
145,Y,-5,19.5,82,17,58,:18,19,170,D1,Y,Highway,Y,windshield was heavy frost and defrosted quickly
146,Y,-7.5,21,86,27,38,:43,23.4,120,D1,Y,City/Highway,Y,includes waiting in drive though
147,Y,-11,19.5,78,17,55,:19,23.6,136,D2,Y,Highway,Y,when departure is not used it feels like it uses battery fast to get to temperature
148,Y,-8.5,20,82,17,56,:18,20.9,125,D2,Y,Highway,Y,
149,Y,-4,16,81,17,59,:17,17.4,158,D2,Y,Highway,Y,
150,Y,6,16.5,89,3,33,:07,20.6,159,0,Y,City/Highway,Y,
151,Y,5,15,77,5,41,:07,17.9,155,D2,Y,Highway,Y,
152,Y,2.5,18.5,76,14,62,:13,19.8,138,D2,Y,Highway,Y,
153,Y,-7.5,18,75,17,58,:17,19.6,153,D2,Y,Highway,Y,
154,Y,-3,15,70,12,55,:13,23.6,133,0,Y,Highway,Y,
155,Y,-1.5,19.5,87,13,42,:20,16.5,131,D2,Y,Highway,Y,
156,Y,-3,21,84,24,42,:34,17.2,114,D2,Y,Highway,Y,
157,Y,-2,17,68,14,57,:15,17.8,175,D2,Y,Highway,Y,
158,Y,3,19,88,5,29,:12,19.9,168,D2,Y,City ,Y,
159,Y,3,16.5,72,0,7,:02,35.2,168,0,Y,City ,Y,
160,Y,2.5,21,76,19,51,:22,18.6,145,D2,Y,Highway,Y,
161,Y,-9.5,16.5,82,17,51,:21,20.2,156,D2,Y,Highway,Y,
162,Y,0,21,79,17,58,:18,17.4,152,D2,Y,Highway,Y,
163,Y,-9,14.5,77,17,58,:18,20.8,151,D2,Y,Highway,Y,
164,Y,-1,17,92,8,28,:18,20.2,149,D2,Y,City ,Y,
165,Y,-1.5,19.5,91,10,38,:17,17,140,D2,Y,Highway,Y,
166,Y,-2.5,17.5,94,4,25,:09,23.1,133,D2,Y,City ,Y,
167,Y,-3.5,20,93,6,26,:15,16.6,130,D2,Y,City ,Y,
168,Y,-5.5,21,78,14,56,:16,18.1,115,D2,Y,Highway,Y,
169,Y,-9.5,17,80,17,57,:18,20,146,D2,Y,Highway,Y,
170,Y,-8,15,83,17,57,:18,22.4,125,D2,Y,Highway,Y,
171,Y,-12.5,19.5,76,17,59,:17,25,125,D2,Y,Highway,Y,
172,Y,-13,6,83,5,42,:07,34.6,109,D2,Y,City/Highway,Y,
173,Y,-12.5,5,83,2,28,:04,38.1,103,D2,Y,City/Highway,Y,
174,Y,-12.5,19,88,3,27,:08,32.5,97,0,Y,City/Highway,Y,
175,Y,-11,8,86,4,28,:09,38.6,87,D2,Y,City/Highway,Y,
176,Y,-12,18,76,14,60,:14,24.7,76,D2,Y,Highway,Y,
177,Y,-15.5,16,75,17,56,:18,29.2,93,D2,Y,Highway,Y,
178,Y,-11,11.5,94,3,24,:09,39,92,D2,Y,City ,Y,
179,Y,-16,19,87,17,51,:20,25.4,75,D2,Y,City/Highway,Y,
180,Y,-14.5,18,82,46,57,:48,21.2,35,D2,Y,City/Highway,Y,
181,Y,-8,16,83,17,47,:22,21.4,142,D2,Y,Highway,Y,
182,Y,1,18,79,18,43,:25,21.7,128,0,Y,Highway,Y,
183,Y,-5.5,14.5,79,17,59,:17,17.8,153,D2,Y,Highway,Y,
184,Y,-12,7.5,74,3,23,:08,42.4,129,0,Y,City ,Y,
185,Y,-13.5,16.5,78,20,58,:21,24.6,102,0,Y,Highway,Y,
186,Y,-22,9,80,17,54,:19,29.6,103,D3,Y,Highway,Y,
187,Y,-1.5,12,82,17,59,:17,22.7,107,D2,Y,Highway,Y,
188,Y,-4.5,12.5,80,17,56,:18,19,99,D2,Y,Highway,Y,
189,Y,2.5,11.5,91,4,19,:14,22.3,95,D2,Y,Highway,Y,
190,Y,-0.5,19,78,19,52,:22,18.8,75,D2,Y,Highway,Y,
191,Y,3.5,17,66,6,54,:06,26.2,157,D2,Y,Highway,Y,
192,Y,0.5,14,95,6,39,:09,20.5,152,0,Y,City/Highway,Y,
193,Y,-3.5,16,84,17,51,:20,17.5,154,D3,Y,Highway,Y,
194,Y,-5,7,95,4,25,:09,30.4,140,D1,Y,City/Highway,Y,
195,Y,-4.5,12,96,3,25,:08,24.3,133,D1,Y,City ,Y,
196,Y,-1,17,96,1,8,:12,39.8,134,D3,Y,City ,Y,
197,Y,-3.5,14,93,10,36,:17,19.8,123,D2,Y,City ,Y,
198,Y,-8,17.5,74,20,60,:21,22.7,96,D2,Y,Highway,Y,
199,Y,-14.5,15.5,77,17,57,:18,23.9,101,D2,Y,Highway,Y,
200,Y,-12.5,13,80,17,56,:18,25.4,84,D2,Y,Highway,Y,
201,Y,-9,19,76,17,60,:17,19.2,117,D1,Y,Highway,Y,
202,Y,-1,15,80,17,62,:17,19.9,106,D1,Y,Highway,Y,
203,Y,-3.5,11.5,78,14,62,:14,16.6,162,D1,Y,Highway,Y,
204,Y,-3,16,92,3,25,:08,19.1,158,D1,Y,City/Highway,Y,
205,Y,3.5,10,91,3,35,:05,23,155,D1,Y,City/Highway,Y,
206,Y,4.5,18,79,3,25,:07,16.7,156,0,Y,City/Highway,Y,
207,Y,7.5,17,86,3,30,:06,20.7,152,D1,Y,City/Highway,Y,
208,Y,7,21,90,3,18,:12,16.6,152,D1,Y,City/Highway,Y,
209,Y,5,21.5,78,19,55,:21,16.7,137,D1,Y,Highway,Y,
210,Y,-5,21,81,23,53,:26,18.2,164,D1,Y,Highway,Y,
211,Y,-10,17,93,3,23,:09,40.3,134,D1,Y,City/Highway,Y,
212,Y,-11.5,21,85,21,38,:34,23.9,109,D1,Y,City/Highway,Y,
213,Y,-22.5,1,73,15,56,:16,32.2,103,D1,Y,Highway,Y,Feels warmer than the indicated in the car
214,Y,-22,15,95,8,27,:19,43.7,84,D1,Y,City ,Y,
215,Y,-23.5,1,82,16,46,:21,38,58,D1,Y,Highway,Y,Feels warmer than the indicated in the car
